"watersheds","order","seed"
"Upper Sacramento River",1,2786.6
"Antelope Creek",2,0
"Battle Creek",3,0
"Bear Creek",4,0
"Big Chico Creek",5,0
"Butte Creek",6,0
"Clear Creek",7,0
"Cottonwood Creek",8,0
"Cow Creek",9,0
"Deer Creek",10,0
"Elder Creek",11,0
"Mill Creek",12,0
"Paynes Creek",13,0
"Stony Creek",14,0
"Thomes Creek",15,0
"Upper-mid Sacramento River",16,0
"Sutter Bypass",17,0
"Bear River",18,0
"Feather River",19,0
"Yuba River",20,0
"Lower-mid Sacramento River",21,0
"Yolo Bypass",22,0
"American River",23,0
"Lower Sacramento River",24,0
"Calaveras River",25,0
"Cosumnes River",26,0
"Mokelumne River",27,0
"Merced River",28,0
"Stanislaus River",29,0
"Tuolumne River",30,0
"San Joaquin River",31,0
